galaxy,R_max_kpc,Vobs_max_kms,upsilon_dyn_outer_med,log_gbar_outer_med,log_gobs_outer_med,N_points
CamB,1.79,20.1,2.0074373002631662,-1.5367539281092553,-1.250114790274726,9
D512-2,3.83,37.2,4.8260764879257305,-1.7251390240791422,-1.0415448233690277,4
D564-8,3.07,25.0,7.929172822347829,-2.159021188422982,-1.2597933046901544,6
D631-7,7.19,58.5,9.13503800898244,-1.8144726464775527,-0.8538585383094257,16
DDO064,2.98,46.9,3.605608743319849,-1.167225929651813,-0.6102473314573854,14
DDO154,5.92,48.2,7.83581891830309,-1.8462258392982616,-0.95177809279772,12
DDO161,13.37,67.5,4.336766507416131,-1.6357568552654214,-0.9985908150097914,31
DDO168,4.12,55.0,4.353192841342634,-1.3426526472460463,-0.7043044762520905,10
DDO170,12.33,62.2,4.769353141342439,-1.7353395642862735,-1.059389078093107,8
ESO079-G014,16.67,178.0,3.1931397142743854,-0.7546313069970116,-0.2504133856981117,15
ESO116-G012,9.86,112.0,5.0004803237126145,-1.135464594925497,-0.4364528722056958,15
ESO444-G084,4.44,63.1,16.034108407619676,-1.8264276505739487,-0.6213828350102303,7
ESO563-G021,42.41,321.0,4.198181214717645,-0.7502948945516136,-0.1272337135559867,30
F561-1,9.66,50.4,1.222227119376738,-1.2358029159118682,-1.148651000081486,6
F563-1,20.1,112.5,8.821222375241408,-1.6839760430329878,-0.7384548464047935,17
F563-V1,7.87,29.5,1.0976719483909048,-1.6326569505488329,-1.5921843848345958,6
F563-V2,10.47,118.0,6.091807062230202,-1.2233626725690523,-0.4386181617845836,10
F565-V2,8.8,83.1,7.593394627122486,-1.554251541796338,-0.6738155711389899,7
F567-2,9.59,52.2,2.4054882251499694,-1.4962157830981573,-1.1150125477231825,5
F568-1,13.23,142.0,6.366989472205042,-1.1339576790891923,-0.3264411099831521,12
F568-3,17.98,120.0,4.74192082357178,-1.3206191336238127,-0.6476133934539352,18
F568-V1,17.63,118.0,7.532932275967485,-1.34251931688144,-0.5338918646852929,15
F571-8,15.55,144.0,8.898458060659154,-1.2709166118946849,-0.3216018539872247,13
F571-V1,13.59,84.3,5.951873029594781,-1.6288841395304228,-0.854230481632137,7
F574-1,12.6,99.7,4.810187973512178,-1.3269328405260008,-0.6447707923717177,14
F574-2,10.83,40.0,1.1010789817028892,-1.4408618930744572,-1.3990434205264388,5
F579-V1,15.16,114.0,3.9997252266326306,-1.1434710649929214,-0.5414409078289806,14
F583-1,16.26,86.9,6.615667053398602,-1.5401197127118458,-0.6926002121977064,25
F583-4,7.29,69.9,4.66652568163814,-1.4101684943885973,-0.742308123383655,12
IC2574,10.23,67.5,4.457040492536276,-1.5802847228703383,-0.9226346318916792,34
IC4202,25.9,250.0,2.446544235149483,-0.5315008840797126,-0.1598114841948296,32
KK98-251,3.13,34.6,2.9181465688816015,-1.4010940535303835,-0.9359869522450875,15
NGC0024,11.27,110.0,5.261507912851117,-1.104997909632481,-0.383887681756382,29
NGC0055,13.5,87.4,3.27934113479557,-1.30490270368117,-0.7877270104548826,21
NGC0100,9.62,91.2,6.243489058110048,-1.4145722948529909,-0.6191449399121305,21
NGC0247,14.54,108.0,4.217571773173582,-1.2671897698749386,-0.6423478494551956,26
NGC0289,71.12,194.0,4.2886640120985176,-1.5749993559846756,-0.9611469000162866,28
NGC0300,11.8,97.0,7.063622748723519,-1.5034627633262319,-0.6544531026783322,25
NGC0801,59.82,238.0,2.6100781845295087,-1.0394081198148897,-0.6227546030508729,13
NGC0891,17.11,234.0,1.8768644221824278,-0.3837575348372109,-0.11032675456780999,18
NGC1003,30.24,115.0,9.20372266993635,-1.8408426323716367,-0.8976751134619596,36
NGC1090,30.09,176.0,2.969591696431793,-1.0532453498266892,-0.580577914845174,24
NGC1705,6.0,73.2,12.984055942492995,-1.727477443320024,-0.6013608496545001,14
NGC2366,6.06,53.7,3.1090235510983417,-1.3977346279639835,-0.9217059985725866,26
NGC2403,20.87,136.0,5.51109374768016,-1.2767345729729818,-0.5354629548472233,73
NGC2683,34.62,212.0,4.090821108496865,-1.3314214750253117,-0.7196932940726846,11
NGC2841,63.64,323.0,6.549946869269791,-1.1966971165514606,-0.38045937428308507,50
NGC2903,24.96,216.0,3.4733286382826463,-0.9355232309957321,-0.3947828608384327,34
NGC2915,10.04,86.5,13.469995197809878,-1.799278200960608,-0.6702682345375119,30
NGC2955,35.43,276.0,1.8266692744766144,-0.4372631505677998,-0.17073924221376058,24
NGC2976,2.27,88.7,1.7388048648888885,-0.22936707472393375,0.00651209067947365,27
NGC2998,42.28,214.0,3.2138911617164245,-0.9905157368009794,-0.4834845714882553,13
NGC3109,6.45,67.3,9.373277801999798,-1.660100731362646,-0.6926060748172906,25
NGC3198,44.08,157.0,4.87687599534777,-1.4611394451323187,-0.7730077084011537,43
NGC3521,17.74,220.0,1.7251751173481356,-0.03784793821772765,0.19208531066087656,41
NGC3726,32.52,169.0,4.053671686117365,-1.1988879407692152,-0.5910393692493008,12
NGC3741,7.0,51.6,12.648336406278208,-2.052349611297992,-0.9503162033422622,21
NGC3769,37.16,126.0,6.111188843033834,-1.7583693220323775,-0.96397253123892,12
NGC3877,11.35,171.0,1.4494113086826734,-0.2887754309529198,-0.1275837854793377,13
NGC3893,19.05,194.0,3.1049027794567037,-0.851289569406589,-0.3592763491655269,10
NGC3917,14.86,138.0,3.4408308273558266,-0.9594461601859189,-0.42303359740021595,17
NGC3949,7.07,169.0,2.008985068073053,-0.2651576599616657,0.0378190488734044,7
NGC3953,15.68,224.0,1.7912174969997998,-0.30872573968306605,-0.0556528843624802,8
NGC3972,8.72,134.0,3.324079194542013,-0.7532684920359467,-0.23201842066633788,10
NGC3992,46.02,272.0,4.021392917478295,-1.0559961337026886,-0.4519527385069716,9
NGC4010,10.47,129.0,2.7333363476591233,-0.8006558858768063,-0.3639628092721415,12
NGC4013,31.01,198.0,4.306380238339965,-1.1429843097331711,-0.506696256255511,36
NGC4051,12.19,161.0,1.48027920649636,-0.4554994291813262,-0.2851557905402276,7
NGC4068,2.33,41.9,2.7008318825572495,-1.122960373349941,-0.6914628216504716,6
NGC4085,6.2,136.0,1.7943775291157544,-0.3477626412795769,-0.0938488193148621,7
NGC4088,21.48,182.0,1.83004886157236,-0.6501124407136729,-0.3876497553395475,12
NGC4100,22.76,195.0,3.322404887254795,-0.9773903189711297,-0.48402709686843426,24
NGC4138,18.58,195.0,3.638043409935954,-1.0462660149591816,-0.4853981381033037,7
NGC4157,29.61,201.0,3.122036530023777,-0.9596016416966932,-0.4653423685499054,17
NGC4183,21.02,115.0,4.399250687628331,-1.40627890079494,-0.7629001902043899,23
NGC4214,5.63,80.6,9.719000168382516,-1.461156955598797,-0.473535365949124,14
NGC4217,16.72,191.0,1.82853513837117,-0.5197175694370249,-0.2577888835498553,19
NGC4389,5.32,110.0,1.1728500679264358,-0.2809037058736592,-0.2116612085356413,6
NGC4559,20.97,124.0,2.955579323180811,-1.1382711716296263,-0.6664086372071507,32
NGC5005,11.47,265.0,1.541322997931552,0.077058482712918,0.26472134437917283,18
NGC5033,44.59,225.0,4.192405734731119,-1.2262385853094244,-0.6037752789320422,22
NGC5055,54.59,206.0,3.502825724078249,-1.2692492944096505,-0.724830763987174,28
NGC5371,46.24,242.0,2.054384485772872,-0.8663628661610465,-0.5539532215210152,19
NGC5585,10.96,92.3,4.674449354105093,-1.282751758714435,-0.6099203345200419,24
NGC5907,50.33,235.0,3.7487487214355975,-1.1437120611575944,-0.5673972849822817,19
NGC5985,34.72,305.0,3.8063767811292584,-0.6120644952133922,-0.0359171926390803,33
NGC6015,29.23,166.0,4.878603573554102,-1.2832567102151071,-0.6100963225241103,44
NGC6195,36.43,258.0,1.781130238841693,-0.475677741746621,-0.2249820648761467,23
NGC6503,23.5,121.0,6.660953011793019,-1.591330999575661,-0.7677946295415289,31
NGC6674,72.41,291.0,6.051729631842361,-1.4114436282979452,-0.6295641111315006,15
NGC6789,0.71,60.4,9.880310755728017,-0.8524900222748738,0.1422805819661451,4
NGC6946,20.4,181.0,2.4896844507221934,-0.8210495195080483,-0.4250900047409055,58
NGC7331,36.31,257.0,2.6415933383379455,-0.7505404193361099,-0.3286744586349561,36
NGC7793,7.87,116.0,2.692200058803317,-0.6347968151051994,-0.2138412540817528,46
NGC7814,19.53,265.0,3.7146576550932453,-0.7300828437945184,-0.16036271863770335,18
PGC51017,3.63,20.5,1.091682558310107,-1.641635763819356,-1.603539392132297,6
UGC00128,53.75,134.0,8.515798992243381,-1.965733683307732,-1.0355082815501118,22
UGC00191,9.98,83.85,3.977361631829706,-1.2706182896776308,-0.6721902677541209,9
UGC00634,18.01,108.0,6.736797960069886,-1.589685253713239,-0.7612317308733283,4
UGC00731,10.91,74.0,4.014512407847013,-1.4277993042406674,-0.8324222229109601,12
UGC00891,7.39,63.75,7.025648321749001,-1.6749054135471069,-0.8282190067398834,5
UGC01230,36.54,113.0,4.718959259374554,-1.7488213927857346,-1.0768876057270245,11
UGC01281,4.99,56.9,5.769184206963423,-1.4917331201163355,-0.7031649235846279,23
UGC02023,3.78,58.8,3.3009056095031073,-1.1259051999542944,-0.6072720942419917,5
UGC02259,8.14,90.0,6.169828049634668,-1.3393049965517423,-0.5501887009106832,8
UGC02455,4.03,61.0,1.063894848094608,-0.655283390802977,-0.6340344452744274,8
UGC02487,80.38,383.0,5.876496377285992,-1.1596914076998655,-0.39099486000714784,17
UGC02885,74.07,305.0,4.009285503058346,-1.056754911942753,-0.45370183355129806,19
UGC02916,38.0,218.0,2.0860395898838893,-0.6249596644028214,-0.28836930545258194,43
UGC02953,62.39,319.0,4.536773090167413,-1.0109901217887018,-0.35428555058357775,115
UGC03205,40.04,237.0,3.0010247397273995,-0.7396880345093523,-0.2627486570798072,48
UGC03546,29.23,262.0,2.6921687473075258,-0.7525964476785586,-0.3224941693451807,30
UGC03580,27.06,131.0,4.157623890571698,-1.2347685726160051,-0.6159233732476019,47
UGC04278,6.69,92.8,4.793167676741911,-1.1388114379126417,-0.4629949791331442,25
UGC04305,5.52,37.3,1.0802299882739108,-1.2096695663111414,-1.1761533367458006,22
UGC04325,5.59,92.7,4.433174057202795,-1.0051091981545488,-0.3583944518511196,8
UGC04483,1.21,24.3,3.342579945145209,-1.3750930658171319,-0.8511006416714938,8
UGC04499,8.18,74.3,3.4832564929452516,-1.2618678305162305,-0.7198844996475201,9
UGC05005,28.61,100.0,5.403012032567565,-1.711468100553014,-0.9789243844938897,11
UGC05253,53.29,248.0,3.03514499394603,-0.6746048865618915,-0.1927518466991655,73
UGC05414,4.11,61.4,3.3233019091381992,-1.127609823197414,-0.6060400261507771,6
UGC05716,12.37,74.7,5.5767548634268,-1.6451756323466262,-0.8987940776526041,12
UGC05721,6.74,82.6,7.809713049965323,-1.4264220456498486,-0.5455874704963182,23
UGC05750,22.85,78.9,4.097808137796032,-1.5996655600240486,-0.9900624394900099,11
UGC05764,3.62,55.8,5.420611135526685,-1.4413289557640114,-0.7074274818981869,10
UGC05829,6.91,68.6,3.2801278052819436,-1.2501387707118092,-0.7343713378843649,11
UGC05918,4.46,44.5,5.25105279248627,-1.6310179068529203,-0.9109650693427134,8
UGC05986,9.41,116.0,6.213947900574557,-1.2331486531304765,-0.4376708257495678,15
UGC05999,16.22,100.0,3.6160774419144945,-1.3368235191857254,-0.7785857964321805,5
UGC06399,7.85,87.6,4.994860616118322,-1.2612663071205215,-0.5629196153960161,9
UGC06446,10.22,84.9,5.088540394846227,-1.4186018485222969,-0.6865975231562705,17
UGC06614,64.59,205.0,4.189550171641809,-1.2427896764808917,-0.620622280832281,13
UGC06628,7.69,42.3,0.8612102764961054,-1.136889755062352,-1.2017805516083897,7
UGC06667,7.85,85.7,8.090979275392451,-1.4833716410629005,-0.5754977386037592,9
UGC06786,34.05,229.0,5.577332752490065,-0.9724966788671028,-0.2260701229071421,45
UGC06787,37.19,276.0,5.110082578154774,-0.8788406974573749,-0.170412779133392,71
UGC06818,6.98,74.4,4.8348897131488044,-1.3609771523120715,-0.6787632155312371,8
UGC06917,10.47,111.0,4.019334480228,-1.0868456406359432,-0.4829282399713662,11
UGC06923,5.16,81.1,2.8650882307484165,-0.9202809404238712,-0.4631429397619425,6
UGC06930,16.61,109.0,3.8518901531145664,-1.294999709746435,-0.7095452809830509,10
UGC06973,7.85,180.0,1.7902828549867884,-0.19524539108246564,0.0571707451619665,9
UGC06983,15.68,113.0,4.552610333523036,-1.3179901366710802,-0.6598282271764173,17
UGC07089,9.16,79.1,3.4115606319445613,-1.2622810831542928,-0.7293279889732337,12
UGC07125,18.68,65.6,2.2994447003849405,-1.526833463074028,-1.1784137607998504,13
UGC07151,5.5,76.2,2.9873520292187594,-1.012734728430187,-0.5374484631672114,11
UGC07232,0.82,44.0,4.224142238389555,-0.8211819796200046,-0.195443445968385,4
UGC07261,6.67,76.1,3.8732485739524876,-1.2179668365835792,-0.6298914669324466,7
UGC07323,5.82,85.6,2.6634367700091297,-0.8850210862871991,-0.45974318185359125,10
UGC07399,6.13,106.0,9.575161240652982,-1.275986378277495,-0.29509163271090777,10
UGC07524,10.69,83.8,3.6399563377740396,-1.2964697762659638,-0.734400014490186,31
UGC07559,2.53,32.1,2.640296753765633,-1.380298144671749,-0.958645402923117,7
UGC07577,1.69,17.8,1.8269767567183213,-1.5782450489549151,-1.3201496458811193,9
UGC07603,4.11,64.0,7.496860016963795,-1.4199210942562852,-0.5450416925775409,12
UGC07608,4.78,69.3,7.078036663758381,-1.4079363024071856,-0.5585598655969448,8
UGC07690,4.13,60.7,3.166657698146779,-1.1902625030147682,-0.6896613824405977,7
UGC07866,2.32,33.1,3.22906033463028,-1.4034431037331767,-0.8943669438965054,7
UGC08286,8.04,84.3,6.624033295692811,-1.4088541541964976,-0.5887815665527387,17
UGC08490,10.15,80.1,7.862475320330326,-1.644503735386572,-0.75377112341987,30
UGC08550,5.36,57.8,5.524790179054586,-1.501777634207126,-0.7595047857477631,11
UGC08699,25.7,202.0,3.235750130365145,-0.7945186704591625,-0.2854669200181967,41
UGC08837,4.2,48.0,2.7574342730107446,-1.25378911416061,-0.813456347027165,8
UGC09037,27.96,160.0,2.3770276685297818,-1.0015445501382398,-0.6230628870554709,22
UGC09133,108.31,289.0,4.380345478818632,-1.383475319819414,-0.7419669550624459,68
UGC09992,3.89,34.3,2.1347885947065324,-1.417251181678971,-1.08789630779721,5
UGC10310,7.74,73.2,3.3845194227688444,-1.2577507558528185,-0.7282537451231521,7
UGC11455,41.93,291.0,2.2457287589415516,-0.5967283487387225,-0.2499923459779737,36
UGC11557,10.56,85.0,1.3167331856308908,-0.8091350824273408,-0.6896373011994896,12
UGC11820,15.82,84.45,4.8533897917217015,-1.5764539680173124,-0.8910128451918136,10
UGC11914,9.83,305.0,1.6132911635785034,0.33389682401645404,0.5416081758697016,65
UGC12506,49.99,255.0,4.256817946747682,-1.1200484748985011,-0.4878070118790742,31
UGC12632,10.66,73.2,4.088260237365355,-1.4512508399944235,-0.839712307061857,15
UGC12732,15.4,98.0,4.613047260840824,-1.437150534843977,-0.7755353627130362,16
UGCA281,1.08,29.5,3.641550118232689,-1.2236009615637635,-0.6623146700876671,7
UGCA442,6.33,57.8,8.683156177804262,-1.7615204191655922,-0.8246507945679378,8
UGCA444,2.62,38.3,5.029064893232558,-1.5223637034075834,-0.8369925317860842,36
